iter	MultiClass
0	1.847511938
1	1.608903225
2	1.439765803
3	1.315388338
4	1.237733087
5	1.16199226
6	1.109246698
7	1.043447608
8	0.9844920197
9	0.9317747925
10	0.8876195395
11	0.841028104
12	0.8042898454
13	0.7747092344
14	0.7464636002
15	0.7247203044
16	0.700907842
17	0.6852172391
18	0.6709653121
19	0.6529871978
20	0.6402409151
21	0.6322521529
22	0.6151852664
23	0.6048341254
24	0.593904495
25	0.5840235936
26	0.5755355189
27	0.5753633834
28	0.5714831366
29	0.5651864509
30	0.5577898565
31	0.5504913561
32	0.5475642912
33	0.5432412743
34	0.5375527457
35	0.5329606984
36	0.5311689767
37	0.5273150671
38	0.523809448
39	0.5215859546
40	0.5185624722
41	0.5153659035
42	0.5140460059
43	0.5116330875
44	0.5067024277
45	0.5019054914
46	0.4979410052
47	0.4958495762
48	0.4940704077
49	0.4908434205
50	0.4886791186
51	0.4865735391
52	0.4831498277
53	0.481250981
54	0.4783419987
55	0.4759219104
56	0.4752795108
57	0.4750579125
58	0.4721061559
59	0.467427954
60	0.4674057744
61	0.4666670779
62	0.4647880174
63	0.4643699416
64	0.4615623669
65	0.4589376896
66	0.4560635273
67	0.4548638505
68	0.4532336341
69	0.4518470217
70	0.450356023
71	0.4474307827
72	0.4452456022
73	0.4429743284
74	0.4394471932
75	0.4365215779
76	0.4349809547
77	0.4326902017
78	0.4302147026
79	0.4280821411
80	0.4249673394
81	0.4232326537
82	0.4210558267
83	0.4187271662
84	0.4161417395
85	0.4147177015
86	0.412832758
87	0.4112198856
88	0.4103106469
89	0.4085475874
90	0.4066158302
91	0.4038637828
92	0.401691168
93	0.3994085463
94	0.3960199622
95	0.3946715242
96	0.3936808067
97	0.3917629039
98	0.3902859356
99	0.3888102618
100	0.3868299051
101	0.3849272734
102	0.3826410049
103	0.3805113929
104	0.3792998734
105	0.3774081134
106	0.3755075298
107	0.3736203663
108	0.3725963004
109	0.3711345404
110	0.3697399374
111	0.3676688115
112	0.3659885219
113	0.3635375562
114	0.3624722522
115	0.3597301682
116	0.3589992621
117	0.3578645286
118	0.3566551783
119	0.3553477669
120	0.3538865924
121	0.3522756499
122	0.3515171405
123	0.3502082652
124	0.3482205263
125	0.3467824862
126	0.3460346868
127	0.3450765492
128	0.3422013028
