iter	Passed	Remaining
0	28	28356
1	63	31832
2	98	32697
3	131	32703
4	152	30309
5	181	30140
6	202	28674
7	233	28909
8	268	29547
9	302	29973
10	336	30224
11	369	30457
12	403	30629
13	436	30759
14	469	30848
15	502	30918
16	535	30940
17	568	31035
18	594	30713
19	627	30735
20	661	30816
21	695	30906
22	728	30965
23	778	31655
24	804	31386
25	823	30862
26	858	30920
27	879	30542
28	909	30452
29	940	30419
30	986	30820
31	1034	31307
32	1078	31592
33	1112	31609
34	1146	31603
35	1179	31577
36	1213	31595
37	1250	31652
38	1282	31609
39	1314	31541
40	1345	31463
41	1376	31404
42	1408	31350
43	1439	31269
44	1474	31293
45	1509	31304
46	1542	31267
47	1574	31222
48	1606	31185
49	1641	31185
50	1673	31147
51	1706	31117
52	1740	31091
53	1773	31068
54	1807	31063
55	1841	31036
56	1879	31099
57	1894	30767
58	1926	30723
59	1957	30665
60	1974	30395
61	2002	30290
62	2035	30273
63	2067	30237
64	2099	30205
65	2132	30182
66	2165	30157
67	2196	30100
68	2227	30052
69	2261	30048
70	2292	30002
71	2325	29974
72	2357	29940
73	2389	29904
74	2422	29878
75	2457	29871
76	2489	29846
77	2522	29815
78	2557	29812
79	2590	29792
80	2621	29741
81	2654	29720
82	2688	29704
83	2721	29682
84	2754	29654
85	2788	29637
86	2838	29786
87	2876	29814
88	2909	29779
89	2943	29762
90	2978	29748
91	3011	29725
92	3045	29698
93	3077	29660
94	3110	29633
95	3143	29597
96	3176	29566
97	3208	29532
98	3241	29504
99	3275	29479
100	3309	29459
101	3342	29423
102	3375	29396
103	3409	29371
104	3443	29351
105	3475	29314
106	3508	29282
107	3542	29254
108	3575	29225
109	3608	29199
110	3642	29175
111	3676	29152
112	3709	29120
113	3742	29090
114	3776	29059
115	3809	29028
116	3842	29000
117	3881	29010
118	3918	29008
119	3954	29001
120	3988	28977
121	4022	28947
122	4054	28909
123	4087	28878
124	4121	28847
125	4153	28811
126	4188	28794
127	4223	28769
128	4261	28775
129	4295	28748
130	4328	28710
131	4361	28677
132	4394	28645
133	4425	28603
134	4457	28560
135	4491	28537
136	4527	28517
137	4559	28481
138	4593	28455
139	4627	28425
140	4663	28410
141	4699	28393
142	4733	28368
143	4768	28348
144	4804	28330
145	4839	28308
146	4883	28339
147	4917	28306
148	4955	28301
149	4988	28270
150	5023	28245
151	5058	28223
152	5091	28188
153	5125	28154
154	5157	28119
155	5191	28089
156	5226	28060
157	5260	28033
158	5298	28025
159	5332	27997
160	5372	27995
161	5411	27994
162	5445	27960
163	5479	27933
164	5514	27906
165	5549	27879
166	5584	27855
167	5619	27828
168	5654	27805
169	5689	27779
170	5723	27747
171	5758	27721
172	5793	27695
173	5827	27665
174	5868	27667
175	5902	27632
176	5937	27608
177	5973	27583
178	6008	27556
179	6055	27584
180	6089	27555
181	6122	27519
182	6155	27482
183	6188	27444
184	6221	27407
185	6253	27366
186	6300	27390
187	6344	27400
188	6384	27396
189	6420	27370
190	6456	27348
191	6491	27318
192	6524	27281
193	6559	27250
194	6593	27220
195	6626	27181
196	6660	27149
197	6695	27120
198	6730	27089
199	6763	27052
200	6797	27022
201	6833	26994
202	6879	27009
203	6915	26985
204	6953	26967
205	6986	26929
206	7019	26890
207	7054	26860
208	7086	26821
209	7120	26786
210	7152	26746
211	7186	26712
212	7219	26673
213	7250	26632
214	7282	26590
215	7315	26553
216	7348	26516
217	7382	26480
218	7415	26446
219	7447	26404
220	7480	26369
221	7516	26339
222	7548	26299
223	7581	26262
224	7614	26226
225	7647	26191
226	7681	26159
227	7715	26124
228	7749	26090
229	7782	26056
230	7818	26026
231	7854	26001
232	7890	25973
233	7925	25942
234	7963	25922
235	7997	25890
236	8032	25858
237	8066	25824
238	8098	25787
239	8136	25766
240	8170	25732
241	8203	25694
242	8235	25655
243	8268	25620
244	8302	25583
245	8334	25544
246	8366	25507
247	8399	25470
248	8434	25439
249	8468	25405
250	8502	25371
251	8534	25333
252	8567	25295
253	8602	25266
254	8637	25233
255	8670	25199
256	8704	25165
257	8737	25129
